developer_name,project_name,property_type,rooms_count,area,price_total,completion_year,address,main_photo_url,gallery_photos_urls,floor_plan_url
СЕМЬЯ,Все Свои VIP,Квартира,1,37.2,"7,200,000",Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",,,
СЕМЬЯ,Все Свои Vip,Квартира,1,41.85,"10,671,750",Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",,,
СЕМЬЯ,Все Свои Vip,Квартира,3,89.2,"21,420,000",Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",,,
СЕМЬЯ,Тёплые края,Квартира,1,35.9,"6,300,450",Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",,,
СЕМЬЯ,Тёплые края,Квартира,2,49.1,"7,109,350",Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",,,
СЕМЬЯ,Тёплые края,Квартира,3,82.8,"12,006,000",Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",,,
НЕОМЕТРИЯ,Южане,Квартира,1,33.7,"4,642,260",Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",,,
НЕОМЕТРИЯ,Южане,Квартира,1,44.4,"5,038,260",Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",,,
НЕОМЕТРИЯ,Южане,Квартира,2,49,"6,227,200",Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",,,
НЕОМЕТРИЯ,Южане,Квартира,2,51.8,"6,316,240",Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",,,
НЕОМЕТРИЯ,Айвазовский,Квартира,2,59.9,"10,070,401",Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",,,
